Requirement,Sub-control ID,Control Objective,Current State,Evidence/Artifacts,Owner,Process/Asset in Scope,Risk (L/M/H),Gap Description,Remediation Action,Priority (P1/P2/P3),Due Date,Status (Open/In Progress/Closed)
1,1.1,Documented network diagram and data flows,Network diagram outdated (9 months old),network_diagram_v2.pdf,Network Engineering Team,CDE / Payment Processing,M,Diagram missing segmentation updates,Create new network and data-flow diagrams,P2,2026-04-15,In Progress1
1,1.2,Firewall rules restrict inbound/outbound traffic to business need,Draft complete; secondary verification identified a configuration gap. While the network diagram is drafted; an audit of the live environment revealed an unrestricted inbound rule on Port 22 for [Asset ID].,AWS_SG_Export.png; Nmap_Scan_Report.pdf,Network Engineering Team,CDE / Payment Processing,H,Inbound firewall rules for [Asset Name/ID] are configured to allow unrestricted access to Port 22 (SSH) from the public internet (0.0.0.0/0). This contradicts the internal Network Security Policy. Inbound firewall rules for [Asset Name/ID] are configured to allow unrestricted access to Port 22 (SSH) from the public internet (0.0.0.0/0). This contradicts the internal Network Security Policy; which requires all remote access to be restricted to authorized IP ranges or via a VPN.,Restrict inbound SSH (Port 22) traffic to specific; authorized IP addresses (e.g.; Company VPN or Office Static IP) and disable 0.0.0.0/0 access,P0,2026-03-17,In Progress1
1,1.3,Network segmentation for CDE,Administrative Gap Identified. The live cloud console identifies the database subnet as DB-PROD-VPC; but the official Network Diagram labels it as CDE-Database-Zone,Network_Diagram_v1.2_Updated.pdf and AWS_Console_Subnet_Screenshot.png,Network Engineering Team (Technical) / Compliance (Doc),CDE / Payment Processing,L,Naming convention inconsistency between technical environment and official compliance documentation,Synchronize labels in the Network Diagram to match the live AWS Cloud Console naming,P3,2026-03-25,Closed
1,1.4,Change management for firewall rule changes,Unauthorized Change Detected: Port 22 opened on March 15 without a corresponding Jira ticket.,"CloudTrail_Event_Logs_March.csv, Jira_Search_Export.pdf",Network Engineering Team (Manager),CDE / Production Network,H,Breach of formal Change Management policy; high-risk modification performed without approval.,"1. Revert change. 2. Root-cause analysis. 3. Restrict IAM permissions.",P1,2026-03-19,In Progress
2,2.1,Default accounts removed or disabled,Audit of 15 Windows Jump Servers revealed the "Guest" account is still enabled on 4 legacy nodes.,"Server_Export_Users_March.csv, System_Config_Screenshot.png",IT Operations Team,CDE / Payment Processing,M,Information leakage risk: Default OS "Guest" account is active; allowing unauthorized read-access to directory structures.,Disable the "Guest" account via Group Policy (GPO) and verify across all CDE assets.,P2,2026-03-25,In Progress
2,2.2,Default passwords changed before connecting to network,"Default password changed, but new password 'Admin123' fails complexity requirements.",Password_Audit_Logs_March.xlsx,Network Engineering Team,CDE / Payment Processing,L,Non-compliance with Password Policy: Device was updated but uses a weak password that lacks required length and special characters.,Update device credentials to meet the 14-character minimum and complexity standards; re-verify.,P3,2026-03-30,In Progress
2,2.3,Configuration standards applied baseline hardening,"New Linux server (SRV-PAY-09) deployed with default 'Full' install, including active Telnet and FTP services.",Vulnerability_Scan_Report_SRV09.pdf,Systems Administration Team,CDE / Payment Processing,H,"Critical hardening gap: Insecure legacy protocols (Telnet, FTP) are active; transmitting credentials in plain-text over the CDE network.",1. Disable Telnet/FTP services immediately. 2. Apply CIS Level 1 Hardening Baseline. 3. Re-scan to verify closure.,P1,2026-03-20,In Progress
3,3.1,"PAN rendered unreadable (tokenization, truncation, hashing or encryption)","Internal Support Portal displays full 16-digit PAN to all 'Tier 1' support agents.",Support_Portal_UI_Screenshot.png,Application Development Team,CDE / Payment Processing,M,Violation of 'Need to Know' principle: Full credit card numbers are visible to unauthorized staff instead of being truncated to the last 4 digits.,Modify the UI code to implement masking (e.g. ************1234) for all non-finance roles.,P2,2026-03-25,In Progress
3,3.2,Key management procedures documented,"Documented SOP exists for key generation and rotation, but lacks a specific section for 'Key Destruction'.",Key_Management_Policy_v1.pdf,Security Operations (SecOps) Team,CDE / Payment Processing,L,Minor Documentation Gap: The existing Key Management policy does not explicitly define the process for securely deleting retired cryptographic keys.,Update the Key Management SOP to include a 'Retirement and Destruction' section; formally approve the new version.,P3,2026-04-10,In Progress
3,3.3,Retention and data minimization policies enforced,,,,CDE / Payment Processing,,,,,,Open
4,4.1,TLS 1.2+ enforced; strong cipher suites,,,,CDE / Payment Processing,,,,,,Open
4,4.2,No insecure protocols (SSL/early TLS) for CHD,,,,CDE / Payment Processing,,,,,,Open
4,4.3,Certificates managed and monitored,,,,CDE / Payment Processing,,,,,,Open
5,5.1,EDR/AV deployed and updated,,,,CDE / Payment Processing,,,,,,Open
5,5.2,Malware protection on all applicable systems including servers,,,,CDE / Payment Processing,,,,,,Open
5,5.3,Monitoring and alerting integrated with SIEM,,,,CDE / Payment Processing,,,,,,Open
6,6.1,Vulnerability management program with SLAs,,,,CDE / Payment Processing,,,,,,Open
6,6.2,Secure SDLC with code review and SAST/DAST,,,,CDE / Payment Processing,,,,,,Open
6,6.3,Timely patching of critical/high vulnerabilities,,,,CDE / Payment Processing,,,,,,Open
7,7.1,Role-based access and least privilege,,,,CDE / Payment Processing,,,,,,Open
7,7.2,Access approvals and periodic reviews,,,,CDE / Payment Processing,,,,,,Open
7,7.3,Segregation of duties enforced,,,,CDE / Payment Processing,,,,,,Open
8,8.1,Unique IDs for all users,,,,CDE / Payment Processing,,,,,,Open
8,8.2,MFA for administrative and remote access,"Company VPN (Cisco AnyConnect) is configured for Username/Password only; MFA is not enforced for remote employees.",VPN_Configuration_Report.txt,Network Engineering Team,CDE / Payment Processing,H,Critical Security Gap: Remote access to the corporate network lacks a second factor of authentication; violating PCI DSS Requirement 8.3.,Enable Duo/Okta MFA integration on the VPN Gateway and enforce for all user profiles.,P1,2026-03-20,In Progress
8,8.3,Strong authentication policy,,,,CDE / Payment Processing,,,,,,Open
9,9.1,Controlled facilities and visitor logs,,,,CDE / Payment Processing,,,,,,Open
9,9.2,Media handling and destruction,,,,CDE / Payment Processing,,,,,,Open
9,9.3,Video surveillance and access reviews,,,,CDE / Payment Processing,,,,,,Open
10,10.1,Centralized logging to SIEM,,,,CDE / Payment Processing,,,,,,Open
10,10.2,Time synchronization (NTP) across systems,,,,CDE / Payment Processing,,,,,,Open
10,10.3,Log retention (12 months) and daily reviews,,,,CDE / Payment Processing,,,,,,Open
11,11.1,Quarterly external ASV scans,,,,CDE / Payment Processing,,,,,,Open
11,11.2,Annual penetration tests and after significant changes,,,,CDE / Payment Processing,,,,,,Open
11,11.3,Wireless scans and IDS/IPS tuning,,,,CDE / Payment Processing,,,,,,Open
12,12.1,Security policy reviewed at least annually,,,,CDE / Payment Processing,,,,,,Open
